"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1",1,"Travis Kelce",KC,"1","3","1.0","0.2"
"2",1,"Darren Waller",LV,"1","3","2.4","0.5"
"3",1,"George Kittle",SF,"2","4","2.7","0.6"
"4",2,"T.J. Hockenson",DET,"3","14","4.8","1.1"
"5",2,"Mark Andrews",BAL,"3","11","5.2","0.9"
"6",2,"Kyle Pitts",ATL,"1","12","5.7","1.8"
"7",2,"Dallas Goedert",PHI,"5","23","7.9","2.2"
"8",2,"Noah Fant",DEN,"4","14","8.5","1.4"
"9",2,"Logan Thomas",WAS,"4","20","9.3","2.3"
"10",3,"Robert Tonyan",GB,"5","18","11.5","2.6"
"11",3,"Mike Gesicki",MIA,"7","22","12.2","2.6"
"12",3,"Tyler Higbee",LAR,"7","25","12.5","3.4"
"13",3,"Irv Smith Jr.",MIN,"8","25","13.8","3.1"
"14",3,"Evan Engram",NYG,"5","30","14.5","3.6"
"15",3,"Jonnu Smith",NE,"7","25","14.8","3.6"
"16",4,"Hunter Henry",NE,"9","29","17.3","3.6"
"17",4,"Cole Kmet",CHI,"8","33","18.9","3.4"
"18",4,"Blake Jarwin",DAL,"10","30","19.7","4.4"
"19",4,"Rob Gronkowski",TB,"9","34","19.7","4.0"
"20",4,"Austin Hooper",CLE,"10","33","20.5","4.2"
"21",4,"Gerald Everett",SEA,"8","32","21.9","4.2"
"22",4,"Adam Trautman",NO,"10","37","20.7","5.6"
"23",4,"Anthony Firkser",TEN,"9","48","22.4","4.8"
"24",4,"Jared Cook",LAC,"10","32","23.3","4.3"
"25",4,"Zach Ertz",PHI,"5","38","23.5","3.9"
"26",4,"Eric Ebron",PIT,"11","31","23.9","3.0"
"27",5,"Dawson Knox",BUF,"19","51","29.8","3.9"
"28",5,"Hayden Hurst",ATL,"18","40","26.9","4.4"
"29",5,"O.J. Howard",TB,"17","40","29.3","3.3"
"30",5,"Chris Herndon IV",NYJ,"23","44","30.2","4.2"
"31",5,"Dan Arnold",CAR,"14","45","31.6","4.9"
"32",5,"Jack Doyle",IND,"22","50","32.6","4.1"
"33",5,"Jimmy Graham",CHI,"17","56","35.3","5.4"
"34",5,"Kyle Rudolph",NYG,"27","59","36.6","5.2"
"35",5,"Ian Thomas",CAR,"26","82","39.0","8.7"
"36",6,"Dalton Schultz",DAL,"9","50","36.4","6.6"
"37",6,"Will Dissly",SEA,"26","51","39.5","5.2"
"38",6,"Donald Parham Jr.",LAC,"29","52","38.2","5.5"
"39",6,"Mo Alie-Cox",IND,"16","53","34.6","8.4"
"40",6,"Jordan Akins",HOU,"18","50","36.0","7.2"
"41",6,"Pat Freiermuth",PIT,"18","61","38.2","8.2"
"42",6,"David Njoku",CLE,"28","67","42.9","6.5"
"43",6,"Harrison Bryant",CLE,"31","54","41.3","6.0"
"44",6,"C.J. Uzomah",CIN,"17","61","38.7","8.4"
"45",6,"Tyler Eifert",JAC,"27","66","42.3","8.0"
"46",6,"Drew Sample",CIN,"27","55","41.6","7.6"
"47",6,"Albert Okwuegbunam",DEN,"26","57","41.5","7.3"
"48",7,"Cameron Brate",TB,"35","64","46.1","6.5"
"49",7,"Brevin Jordan",HOU,"32","81","48.2","10.6"
"50",7,"Jacob Hollister",BUF,"30","62","45.4","7.8"
"51",7,"Tyler Conklin",MIN,"27","60","43.1","9.2"
"52",7,"Hunter Long",MIA,"38","89","50.4","12.7"
"53",7,"Foster Moreau",LV,"39","62","52.5","5.4"
"54",7,"Geoff Swaim",TEN,"37","60","50.1","5.4"
"55",7,"James O'Shaughnessy",JAC,"33","68","49.5","12.1"
"56",7,"Brycen Hopkins",LAR,"35","76","53.3","8.7"
"57",7,"Ryan Griffin",NYJ,"39","71","55.2","7.0"
"58",7,"Jace Sternberger",GB,"37","83","59.1","9.7"
"59",7,"Kahale Warring",HOU,"42","64","54.0","6.2"
"60",7,"Trey Burton",IND,"41","63","54.9","6.6"
"61",7,"Darren Fells",DET,"39","83","59.6","8.9"
"62",8,"Maxx Williams",ARI,"24","70","52.4","13.3"
"63",8,"Josh Oliver",BAL,"32","134","67.2","24.1"
"64",8,"Kylen Granson",IND,"26","62","56.0","3.6"
"65",8,"Tommy Tremble",CAR,"19","92","59.5","17.2"
"66",8,"Jacob Harris",LAR,"30","59","40.0","9.8"
"67",8,"Adam Shaheen",MIA,"43","96","68.0","13.2"
"68",8,"Tre' McKitty",LAC,"57","72","65.9","4.5"
"69",8,"Noah Gray",KC,"25","98","46.2","26.4"
"70",8,"Tim Tebow",JAC,"15","80","48.0","22.7"
"71",8,"Tyler Kroft",NYJ,"39","80","61.8","12.1"
"72",8,"Nick Boyle",BAL,"46","65","56.4","5.6"
"73",8,"Nick Vannett",NO,"39","69","57.2","10.8"
"74",8,"Hunter Bryant",DET,"45","76","59.6","10.8"
"75",8,"Colby Parkinson",SEA,"41","75","67.7","3.4"
"76",8,"Devin Asiasi",NE,"53","104","73.0","16.4"
"77",8,"Josiah Deguara",GB,"51","77","62.6","7.3"
"78",8,"Richard Rodgers",PHI,"43","115","71.5","20.7"
"79",8,"Durham Smythe",MIA,"56","70","64.6","5.0"
"80",8,"Ross Dwelley",SF,"50","63","57.5","5.3"
"81",8,"Blake Bell",KC,"54","66","57.8","4.8"
"82",8,"Kenny Yeboah",NYJ,"33","87","61.3","21.7"
"83",8,"Marcedes Lewis",GB,"59","86","71.0","9.7"
"84",9,"Troy Fumagalli",NE,"62","65","63.3","1.3"
"85",9,"Dalton Keene",NE,"65","105","79.6","16.6"
"86",9,"Pharaoh Brown",HOU,"59","69","65.0","4.3"
"87",9,"John Bates",WAS,"60","77","68.3","6.9"
"88",9,"Johnny Mundt",LAR,"46","67","56.5","10.5"
"89",9,"Chris Manhertz",JAC,"47","90","71.7","18.1"
"90",9,"Ryan Izzo",HOU,"62","87","74.0","10.2"
