"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Christian McCaffrey",CAR,"RB1","1","3","1.1","0.3"
"2",1,"Dalvin Cook",MIN,"RB2","1","6","2.3","0.8"
"3",1,"Alvin Kamara",NO,"RB3","2","22","4.2","2.3"
"4",1,"Saquon Barkley",NYG,"RB4","2","34","6.0","3.4"
"5",2,"Derrick Henry",TEN,"RB5","1","27","6.4","4.5"
"6",2,"Ezekiel Elliott",DAL,"RB6","3","53","8.2","4.7"
"7",2,"Tyreek Hill",KC,"WR1","5","18","8.9","2.2"
"8",2,"Davante Adams",GB,"WR2","5","49","9.6","4.1"
"9",2,"Stefon Diggs",BUF,"WR3","5","24","9.7","3.3"
"10",2,"Austin Ekeler",LAC,"RB7","4","31","9.9","5.8"
"11",2,"Jonathan Taylor",IND,"RB8","3","34","12.1","6.1"
"12",2,"DeAndre Hopkins",ARI,"WR4","5","35","12.6","3.2"
"13",3,"Calvin Ridley",ATL,"WR5","5","39","14.2","3.7"
"14",3,"Aaron Jones",GB,"RB9","4","84","15.2","7.6"
"15",3,"Travis Kelce",KC,"TE1","5","26","16.2","2.9"
"16",3,"Justin Jefferson",MIN,"WR6","5","35","19.4","5.6"
"17",3,"Nick Chubb",CLE,"RB10","5","40","19.9","6.0"
"18",3,"D.K. Metcalf",SEA,"WR7","5","39","20.7","5.3"
"19",3,"Darren Waller",LV,"TE2","13","29","21.2","4.1"
"20",4,"Michael Thomas",NO,"WR8","11","37","21.8","6.8"
"21",4,"A.J. Brown",TEN,"WR9","9","56","22.3","6.6"
"22",4,"Keenan Allen",LAC,"WR10","12","46","22.8","5.5"
"23",4,"Antonio Gibson",WAS,"RB11","6","42","23.4","7.3"
"24",4,"Joe Mixon",CIN,"RB12","7","64","23.6","9.2"
"25",4,"George Kittle",SF,"TE3","14","46","24.6","7.3"
"26",4,"Cam Akers",LAR,"RB13","3","47","24.8","9.2"
"27",4,"Patrick Mahomes II",KC,"QB1","18","56","25.6","11.4"
"28",4,"Allen Robinson II",CHI,"WR11","15","38","26.7","4.2"
"29",4,"Terry McLaurin",WAS,"WR12","15","39","28.4","3.9"
"30",4,"Clyde Edwards-Helaire",KC,"RB14","8","60","31.2","8.4"
"31",5,"Najee Harris",PIT,"RB15","6","274","29.7","29.3"
"32",5,"Amari Cooper",DAL,"WR13","21","64","34.7","4.3"
"33",5,"D'Andre Swift",DET,"RB16","8","112","35.0","10.2"
"34",5,"Robert Woods",LAR,"WR14","16","73","36.1","5.0"
"35",5,"CeeDee Lamb",DAL,"WR15","12","65","36.4","7.1"
"36",5,"Chris Godwin",TB,"WR16","25","72","37.5","5.9"
"37",5,"Mike Evans",TB,"WR17","22","65","39.9","6.3"
"38",5,"Julio Jones",TEN,"WR18","24","118","40.0","8.9"
"39",5,"Chris Carson",SEA,"RB17","21","60","40.5","7.0"
"40",5,"Josh Allen",BUF,"QB2","19","64","42.9","10.2"
"41",5,"D.J. Moore",CAR,"WR19","30","98","43.0","8.0"
"42",5,"J.K. Dobbins",BAL,"RB18","20","69","43.3","9.0"
"43",5,"Miles Sanders",PHI,"RB19","23","71","43.9","8.4"
"44",5,"Diontae Johnson",PIT,"WR20","29","109","43.9","8.2"
"45",5,"David Montgomery",CHI,"RB20","26","67","44.0","7.8"
"46",5,"Cooper Kupp",LAR,"WR21","29","62","44.0","6.3"
