"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1",1,"Christian McCaffrey",CAR,"1","3","1.1","0.3"
"2",1,"Dalvin Cook",MIN,"1","5","2.3","0.7"
"3",1,"Alvin Kamara",NO,"2","11","4.0","1.5"
"4",2,"Derrick Henry",TEN,"1","13","5.0","2.2"
"5",2,"Saquon Barkley",NYG,"2","16","5.1","2.1"
"6",2,"Ezekiel Elliott",DAL,"3","17","6.4","2.0"
"7",2,"Austin Ekeler",LAC,"4","15","7.2","2.3"
"8",2,"Jonathan Taylor",IND,"3","16","8.0","2.3"
"9",2,"Aaron Jones",GB,"4","31","9.3","2.6"
"10",3,"Nick Chubb",CLE,"5","17","10.8","2.1"
"11",3,"Antonio Gibson",WAS,"5","18","12.1","2.5"
"12",3,"Joe Mixon",CIN,"6","21","12.1","3.1"
"13",3,"Cam Akers",LAR,"3","20","12.4","3.0"
"14",3,"Clyde Edwards-Helaire",KC,"7","25","14.9","2.8"
"15",3,"Najee Harris",PIT,"5","44","13.2","4.6"
"16",3,"D'Andre Swift",DET,"8","39","16.2","3.1"
"17",4,"Chris Carson",SEA,"11","25","17.8","2.1"
"18",4,"J.K. Dobbins",BAL,"10","25","18.9","3.0"
"19",4,"David Montgomery",CHI,"13","23","19.0","2.4"
"20",4,"Miles Sanders",PHI,"14","27","19.1","2.4"
"21",4,"Myles Gaskin",MIA,"12","40","21.8","2.6"
"22",4,"Mike Davis",ATL,"14","37","22.4","4.0"
"23",4,"Josh Jacobs",LV,"12","32","22.4","2.1"
"24",4,"Travis Etienne",JAC,"8","41","23.4","4.5"
"25",4,"Kareem Hunt",CLE,"18","31","24.3","2.6"
"26",4,"Chase Edmonds",ARI,"17","43","27.3","4.1"
"27",5,"Javonte Williams",DEN,"11","48","29.1","5.7"
"28",5,"Raheem Mostert",SF,"23","48","30.7","3.9"
"29",5,"James Robinson",JAC,"19","47","31.7","5.1"
"30",5,"Melvin Gordon III",DEN,"21","53","31.9","5.6"
"31",5,"Damien Harris",NE,"22","49","33.3","5.1"
"32",5,"David Johnson",HOU,"22","49","34.4","5.4"
"33",5,"Ronald Jones II",TB,"23","54","34.5","5.4"
"34",5,"Leonard Fournette",TB,"23","51","34.8","5.1"
"35",5,"Michael Carter",NYJ,"22","53","33.8","6.8"
"36",5,"Trey Sermon",SF,"22","61","36.0","8.0"
"37",5,"Zack Moss",BUF,"26","53","37.2","5.3"
"38",5,"Kenyan Drake",LV,"28","50","37.4","4.2"
"39",5,"James Conner",ARI,"24","52","37.5","5.4"
"40",5,"Nyheim Hines",IND,"28","56","38.5","5.0"
"41",6,"Jamaal Williams",DET,"24","53","41.0","4.3"
"42",6,"Devin Singletary",BUF,"33","58","42.6","4.1"
"43",6,"Tony Pollard",DAL,"28","56","43.1","5.1"
"44",6,"Tarik Cohen",CHI,"31","67","44.4","7.6"
"45",6,"AJ Dillon",GB,"31","54","44.7","4.4"
"46",6,"Gus Edwards",BAL,"31","59","45.0","4.4"
"47",6,"Latavius Murray",NO,"35","56","45.5","3.5"
"48",6,"J.D. McKissic",WAS,"32","60","46.5","6.0"
"49",6,"Darrell Henderson",LAR,"32","62","47.3","4.6"
"50",6,"James White",NE,"34","67","48.7","5.9"
"51",6,"Phillip Lindsay",HOU,"37","78","49.6","6.1"
"52",6,"Alexander Mattison",MIN,"35","90","53.1","4.9"
